workerid,OS,screenH,screenW,Browser
0,"""Windows""",1080,1920,"""Chrome"""
1,"""Windows""",768,1360,"""Chrome"""
2,"""Windows""",1080,1920,"""Chrome"""
3,"""Windows""",600,1067,"""Firefox"""
4,"""Mac""",900,1440,"""Chrome"""
5,"""Mac""",800,1280,"""Chrome"""
6,"""Windows""",900,1600,"""Chrome"""
7,"""Windows""",768,1366,"""Chrome"""
8,"""Windows""",720,1280,"""Chrome"""
9,"""Windows""",1080,1920,"""Chrome"""
10,"""Windows""",1080,1920,"""Chrome"""
11,"""Windows""",1080,1920,"""Chrome"""
12,"""Windows""",864,1536,"""Chrome"""
13,"""Windows""",900,1440,"""Chrome"""
14,"""Windows""",900,1600,"""Chrome"""
15,"""Windows""",900,1600,"""Chrome"""
16,"""Windows""",1080,1920,"""Chrome"""
17,"""Linux""",939,1669,"""Chrome"""
18,"""Windows""",864,1536,"""Chrome"""
19,"""Windows""",768,1360,"""Chrome"""
20,"""Windows""",1080,1920,"""Chrome"""
21,"""Linux""",900,1600,"""Chrome"""
22,"""Windows""",1080,1920,"""Chrome"""
23,"""Windows""",1080,1920,"""Chrome"""
24,"""Linux""",600,1024,"""Chrome"""
25,"""Windows""",768,1366,"""Chrome"""
26,"""Windows""",768,1366,"""Chrome"""
27,"""Mac""",800,1280,"""Chrome"""
28,"""Windows""",820,1024,"""Chrome"""
29,"""Windows""",1050,1680,"""Chrome"""
30,"""Windows""",900,1600,"""Firefox"""
31,"""Mac""",900,1440,"""Chrome"""
32,"""Mac""",1440,2560,"""Chrome"""
33,"""Mac""",800,1280,"""Chrome"""
34,"""Windows""",768,1366,"""Chrome"""
35,"""Windows""",820,1024,"""Chrome"""
36,"""Windows""",900,1440,"""Chrome"""
37,"""Windows""",869,1303,"""Mozilla"""
38,"""Windows""",720,1280,"""Chrome"""
39,"""Mac""",900,1440,"""Chrome"""
40,"""Windows""",1080,1920,"""Chrome"""
41,"""Windows""",1080,1920,"""Chrome"""
42,"""Windows""",1080,1920,"""Chrome"""
43,"""Windows""",615,1093,"""Chrome"""
44,"""Windows""",768,1366,"""Firefox"""
45,"""Windows""",1080,1920,"""Chrome"""
46,"""Windows""",1080,1920,"""Firefox"""
47,"""Windows""",912,1368,"""Chrome"""
48,"""Linux""",768,1366,"""Chrome"""
49,"""Windows""",768,1024,"""Chrome"""
50,"""Windows""",1080,1920,"""Firefox"""
51,"""Linux""",768,1366,"""Chrome"""
52,"""Windows""",864,1536,"""Firefox"""
53,"""Windows""",768,1366,"""Chrome"""
54,"""Windows""",900,1600,"""Chrome"""
55,"""Windows""",1024,1280,"""Chrome"""
56,"""Windows""",1080,1920,"""Chrome"""
57,"""Windows""",1080,1920,"""Chrome"""
58,"""Windows""",864,1536,"""Chrome"""
59,"""Windows""",900,1600,"""Firefox"""
60,"""Windows""",1080,1920,"""Chrome"""
61,"""Windows""",1080,1920,"""Chrome"""
62,"""Windows""",858,1525,"""Firefox"""
63,"""Windows""",1080,1920,"""Chrome"""
64,"""Windows""",1080,1920,"""Chrome"""
65,"""Windows""",768,1360,"""Chrome"""
66,"""Windows""",1080,1920,"""Chrome"""
67,"""Windows""",864,1536,"""Chrome"""
68,"""Windows""",640,1138,"""Chrome"""
69,"""Windows""",900,1600,"""Firefox"""
70,"""Windows""",894,1118,"""Chrome"""
71,"""Mac""",900,1440,"""Chrome"""
72,"""Windows""",1080,1920,"""Firefox"""
73,"""Windows""",1200,1920,"""Chrome"""
74,"""Windows""",768,1366,"""Chrome"""
75,"""Linux""",823,412,"""Chrome"""
76,"""Windows""",875,1400,"""Firefox"""
77,"""Windows""",768,1366,"""Chrome"""
78,"""Windows""",1080,1920,"""Chrome"""
79,"""Windows""",1080,1920,"""Firefox"""
80,"""Windows""",1080,1920,"""Chrome"""
81,"""Windows""",900,1600,"""Firefox"""
82,"""Linux""",768,1366,"""Chrome"""
83,"""Windows""",900,1600,"""Chrome"""
84,"""Windows""",1080,1920,"""Chrome"""
85,"""Windows""",864,1536,"""Chrome"""
86,"""Windows""",768,1366,"""Chrome"""
87,"""Windows""",1050,1680,"""Chrome"""
88,"""Windows""",972,1728,"""Firefox"""
89,"""Windows""",768,1366,"""Chrome"""
90,"""Windows""",1080,1920,"""Chrome"""
91,"""Windows""",900,1440,"""Chrome"""
92,"""Windows""",1080,1920,"""Chrome"""
93,"""Windows""",768,1366,"""Chrome"""
94,"""Windows""",768,1024,"""Chrome"""
95,"""Mac""",800,1280,"""Chrome"""
96,"""Windows""",1440,2560,"""Firefox"""
97,"""Windows""",1080,1920,"""Chrome"""
98,"""Windows""",768,1366,"""Chrome"""
99,"""Windows""",768,1366,"""Chrome"""
100,"""Windows""",1050,1680,"""Firefox"""
101,"""Windows""",768,1366,"""Chrome"""
102,"""Windows""",768,1366,"""Chrome"""
103,"""Windows""",768,1366,"""Chrome"""
104,"""Mac""",900,1440,"""Chrome"""
105,"""Windows""",768,1366,"""Chrome"""
106,"""Windows""",768,1364,"""Chrome"""
107,"""Windows""",768,1366,"""Chrome"""
108,"""Mac""",900,1600,"""Chrome"""
109,"""Windows""",768,1366,"""Chrome"""
110,"""Windows""",864,1536,"""Firefox"""
111,"""Windows""",768,1366,"""Chrome"""
112,"""Windows""",1440,2560,"""Chrome"""
113,"""Linux""",1080,1920,"""Chrome"""
114,"""Windows""",1080,1920,"""Chrome"""
115,"""Windows""",1080,1920,"""Chrome"""
116,"""Windows""",768,1366,"""Firefox"""
117,"""Windows""",768,1366,"""Chrome"""
118,"""Windows""",900,1440,"""Chrome"""
119,"""Windows""",768,1366,"""Chrome"""
120,"""Windows""",1080,1920,"""Chrome"""
121,"""Windows""",864,1536,"""Chrome"""
122,"""Windows""",768,1366,"""Chrome"""
123,"""Windows""",864,1536,"""Chrome"""
124,"""Windows""",768,1366,"""Chrome"""
125,"""Windows""",1080,1920,"""Chrome"""
126,"""Windows""",1080,1920,"""Firefox"""
127,"""Windows""",768,1366,"""Chrome"""
128,"""Windows""",1080,1920,"""Chrome"""
129,"""Windows""",768,1366,"""Chrome"""
130,"""Windows""",1080,1920,"""Chrome"""
131,"""iPhone/iPod""",736,414,"""Safari"""
132,"""Windows""",768,1366,"""Chrome"""
133,"""Mac""",900,1440,"""Chrome"""
134,"""Windows""",864,1536,"""Chrome"""
135,"""Windows""",1080,1920,"""Chrome"""
136,"""Mac""",1152,2048,"""Chrome"""
137,"""Windows""",768,1280,"""Chrome"""
138,"""Windows""",900,1600,"""Chrome"""
139,"""Mac""",1440,2560,"""Chrome"""
140,"""Windows""",1080,1920,"""Chrome"""
141,"""Windows""",768,1366,"""Firefox"""
142,"""Windows""",768,1366,"""Chrome"""
143,"""Windows""",1080,1920,"""Firefox"""
144,"""Mac""",768,1366,"""Chrome"""
145,"""Mac""",1200,1920,"""Firefox"""
146,"""Windows""",800,1280,"""Chrome"""
147,"""Mac""",800,1280,"""Chrome"""
148,"""Windows""",768,1366,"""Chrome"""
149,"""Windows""",768,1366,"""Chrome"""
150,"""Windows""",768,1366,"""Chrome"""
151,"""Windows""",1080,1920,"""Chrome"""
152,"""Linux""",900,1440,"""Firefox"""
153,"""Windows""",1080,1920,"""Chrome"""
154,"""Windows""",720,1280,"""Chrome"""
155,"""Windows""",768,1366,"""Chrome"""
156,"""Windows""",768,1366,"""Chrome"""
157,"""Windows""",1440,2560,"""Chrome"""
158,"""Mac""",800,1280,"""Firefox"""
159,"""Windows""",768,1366,"""Chrome"""
